Gene_symbol	NAME	log2FoldChange	pvalue	FDR	1posH	2posH	3posH	4posH	5posH	6posH	1negH	2negH	3negH	4negH	5negH	6negH
0610007P14Rik	RIKEN cDNA 0610007P14 gene	1.096332552	0.237007137	0.999902145	24.06122541	22.9449721	21.89717333	19.84033779	27.5774706	21.3126119	21.02999933	24.14619148	19.10224151	20.95149077	20.47745568	19.73607127
0610009B22Rik	RIKEN cDNA 0610009B22 gene	-1.025547165	0.740390402	0.999902145	12.94246844	10.84557425	11.91365965	10.30978278	12.92242732	11.59767573	12.47406805	12.29147215	12.13334558	11.63971709	11.90085899	11.78380812
0610009L18Rik	RIKEN cDNA 0610009L18 gene	-1.021397669	0.916932054	0.999902145	0.823611628	0.564220625	0.998351367	1.258752549	1.949192948	0.979024575	1.19942962	1.310258452	0.746667421	0.440421728	1.329704915	1.662745931
0610009O20Rik	RIKEN cDNA 0610009O20 gene	-1.050696443	0.427449634	0.999902145	40.53345797	38.99391434	36.27343302	38.06227945	34.9410884	35.6214326	39.46123449	40.36843898	39.946707	39.88962507	39.29278023	36.94187699
0610010B08Rik	RIKEN cDNA 0610010B08 gene	-1.221902393	0.116813636	0.999902145	12.53066262	28.21103127	19.30145977	31.22905133	29.02131723	24.47561437	32.74442862	43.61288848	31.11114252	22.39859073	22.07310158	24.79660236
0610010F05Rik	RIKEN cDNA 0610010F05 gene	1.012504712	0.844947412	0.999902145	29.5323598	34.22938461	32.28002755	33.80649703	33.13628012	35.77205177	29.98574049	33.3803939	34.65781277	33.09454698	30.78266877	34.48390474
0610010K14Rik	RIKEN cDNA 0610010K14 gene	1.016820828	0.865030702	0.999902145	15.41330332	16.23701578	16.43951918	16.90324851	19.92508347	15.13722612	15.63256604	15.97267446	14.80890384	15.66643004	16.08942947	20.31441768
0610011F06Rik	RIKEN cDNA 0610011F06 gene	1.067804064	0.564568786	0.999902145	8.236116278	7.711015215	7.454356877	8.032040073	13.28338898	11.14581824	8.036178452	9.795741761	7.528896491	9.500525845	8.310655716	9.036662668
0610012G03Rik	RIKEN cDNA 0610012G03 gene	1.011941952	0.892918921	0.999902145	12.58949202	12.16208904	11.98021641	12.64746609	16.38765923	12.95324822	12.63399199	13.66412386	12.0711233	12.70931272	13.36353439	13.30196745
0610030E20Rik	RIKEN cDNA 0610030E20 gene	1.030907015	0.58660212	0.999902145	57.35866693	56.17129783	55.77456306	55.98451812	59.77525041	59.19333198	62.05049233	55.90436062	57.61783596	53.10227691	48.53422938	56.31648175
